Unnamed: 0,Date,Score,Normalized_Score
366,2020-04-03,7.2,0.003029156
367,2020-04-10,43.2,0.037107156
368,2020-04-17,30,0.024611889
369,2020-04-24,26,0.020825445
370,2020-05-01,26.4,0.021204089
371,2020-05-08,14.4,0.009844756
372,2020-05-15,13.6,0.009087467
373,2020-05-22,7.2,0.003029156
374,2020-05-29,10,0.005679667
375,2020-06-05,74.4,0.066641424
376,2020-06-12,45.2,0.039000379
377,2020-06-19,26.8,0.021582734
378,2020-06-26,26.8,0.021582734
379,2020-07-03,10,0.005679667
380,2020-07-10,13.2,0.008708822
381,2020-07-17,7.2,0.003029156
382,2020-07-24,84,0.075728891
383,2020-07-31,79.2,0.071185157
384,2020-08-07,28.8,0.023475956
385,2020-08-14,20.4,0.015524423
386,2020-08-21,28.8,0.023475956
387,2020-08-28,116.4,0.106399091
388,2020-09-04,14.4,0.009844756
389,2020-09-11,49.2,0.042786823
390,2020-09-18,12.8,0.008330178
391,2020-09-25,38.4,0.032563423
392,2020-10-02,52.8,0.046194623
393,2020-10-09,15.6,0.010980689
394,2020-10-16,57.6,0.050738357
395,2020-10-23,46.8,0.040514956
396,2020-10-30,13.6,0.009087467
397,2020-11-06,14.4,0.009844756
398,2020-11-13,28.8,0.023475956
399,2020-11-20,10,0.005679667
400,2020-11-27,27.6,0.022340023
401,2020-12-04,36.4,0.030670201
402,2020-12-11,33.6,0.02801969
403,2020-12-18,34.8,0.029155623
404,2020-12-25,10,0.005679667
405,2021-01-01,10,0.005679667
406,2021-01-08,10,0.005679667
407,2021-01-15,87.6,0.079136691
408,2021-01-22,66,0.05868989
409,2021-01-29,12.8,0.008330178
410,2021-02-05,27.6,0.022340023
411,2021-02-12,67.2,0.059825824
412,2021-02-19,45.6,0.039379023
413,2021-02-26,40,0.034078001
414,2021-03-05,20,0.015145778
415,2021-03-12,60.4,0.053388868
416,2021-03-19,52.8,0.046194623
417,2021-03-26,39.6,0.033699356
418,2021-04-02,50.4,0.043922757
419,2021-04-09,77.6,0.069670579
420,2021-04-16,56.4,0.049602423
421,2021-04-23,54,0.047330557
422,2021-04-30,49.2,0.042786823
423,2021-05-07,26.4,0.021204089
424,2021-05-14,27.2,0.021961378
425,2021-05-21,27.2,0.021961378
426,2021-05-28,81.6,0.073457024
427,2021-06-04,43.2,0.037107156
428,2021-06-11,81.6,0.073457024
429,2021-06-18,35.6,0.029912912
430,2021-06-25,78,0.070049224
431,2021-07-02,96,0.087088224
432,2021-07-09,13.2,0.008708822
433,2021-07-16,28.8,0.023475956
434,2021-07-23,84,0.075728891
435,2021-07-30,69.6,0.06209769
436,2021-08-06,61.6,0.054524801
437,2021-08-13,15.6,0.010980689
438,2021-08-20,17.6,0.012873911
