Date,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹_impact_score_sum,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__impact_score_mean,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__pos_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__neg_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__zero_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__sentiment
2023.5.5 0:00,10,0.555555556,3,2,13,1
2023.5.12 0:00,25,2.5,6,1,3,1
2023.5.19 0:00,12,0.666666667,4,0,14,1
2023.5.26 0:00,4,0.5,2,0,6,1
2023.6.2 0:00,-6,-0.3,3,3,14,-1
2023.6.9 0:00,34,2.266666667,4,0,11,1
2023.6.16 0:00,30,1.764705882,6,0,11,1
2023.6.23 0:00,-1,-0.045454545,1,1,20,-1
2023.6.30 0:00,17,1.545454545,2,1,8,1
2023.7.7 0:00,5,0.833333333,1,0,5,1
2023.7.14 0:00,13,0.764705882,3,2,12,1
2023.7.21 0:00,24,1.333333333,6,0,12,1
2023.7.28 0:00,45,2.647058824,8,1,8,1
2023.8.4 0:00,28,1.166666667,8,4,12,1
2023.8.11 0:00,5,0.384615385,4,2,7,1
2023.8.18 0:00,5,0.416666667,1,1,10,1
2023.8.25 0:00,7,0.875,3,2,3,1
2023.9.1 0:00,12,0.75,4,0,12,1
2023.9.8 0:00,6,0.333333333,2,0,16,1
2023.9.15 0:00,24,0.857142857,7,2,19,1
2023.9.22 0:00,3,0.214285714,2,4,8,1
2023.9.29 0:00,26,0.590909091,6,0,38,1
2023.10.6 0:00,33,2.75,5,0,7,1
2023.10.13 0:00,32,1.684210526,8,3,8,1
2023.10.20 0:00,25,1.923076923,6,0,7,1
2023.10.27 0:00,33,1.375,9,1,14,1
2023.11.3 0:00,27,1.928571429,6,0,8,1
2023.11.10 0:00,29,2.071428571,6,0,8,1
2023.11.17 0:00,4,0.19047619,2,1,18,1
2023.11.24 0:00,22,1.047619048,7,2,12,1
2023.12.1 0:00,12,0.8,5,2,8,1
2023.12.8 0:00,19,0.95,6,2,12,1
2023.12.15 0:00,18,1.384615385,3,1,9,1
2023.12.22 0:00,51,2.833333333,8,1,9,1
2023.12.29 0:00,16,2.285714286,4,1,2,1
2024.1.5 0:00,-4,-0.19047619,2,4,15,-1
2024.1.12 0:00,47,1.46875,11,3,18,1
2024.1.19 0:00,33,2.0625,8,0,8,1
2024.1.26 0:00,58,2.761904762,12,1,8,1
2024.2.2 0:00,34,1.36,11,4,10,1
2024.2.9 0:00,-1,-0.04,7,4,14,-1
2024.2.16 0:00,19,0.863636364,4,1,17,1
2024.2.23 0:00,52,2.363636364,10,0,12,1
2024.3.1 0:00,23,0.851851852,8,1,18,1
2024.3.8 0:00,-3,-0.25,2,2,8,-1
2024.3.15 0:00,14,0.823529412,5,2,10,1
2024.3.22 0:00,-4,-0.181818182,2,5,15,-1
2024.3.29 0:00,-12,-0.48,3,5,17,-1
2024.4.5 0:00,2,0.153846154,2,2,9,1
2024.4.12 0:00,22,1.047619048,7,3,11,1
2024.4.19 0:00,102,2.615384615,19,4,16,1
2024.4.26 0:00,7,0.388888889,5,3,10,1
2024.5.3 0:00,36,1.714285714,7,1,13,1
2024.5.10 0:00,0,0,2,2,10,0
2024.5.17 0:00,1,0.026315789,14,13,11,1
2024.5.24 0:00,-9,-0.529411765,6,7,4,-1
2024.5.31 0:00,2,0.285714286,3,3,1,1
2024.6.7 0:00,20,1.333333333,5,2,8,1
2024.6.14 0:00,20,1.052631579,6,3,10,1
