Date,생산지_재해_호주_impact_score_sum,생산지_재해_호주_impact_score_mean,생산지_재해_호주_pos_frequency,생산지_재해_호주_neg_frequency,생산지_재해_호주_zero_frequency,생산지_재해_호주_sentiment
2019-08-30 00:00:00,0.0,0.0,0,0,0,0
2019-09-06 00:00:00,0.0,0.0,0,0,1,0
2019-09-13 00:00:00,0.0,0.0,0,0,3,0
2019-09-20 00:00:00,0.0,0.0,0,0,4,0
2019-09-27 00:00:00,0.0,0.0,0,0,4,0
2019-10-04 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-10-11 00:00:00,30.0,7.5,3,0,1,1
2019-10-18 00:00:00,0.0,0.0,0,0,3,0
2019-10-25 00:00:00,0.0,0.0,0,0,3,0
2019-11-01 00:00:00,-10.0,-3.3333333333333335,0,1,2,-1
2019-11-08 00:00:00,0.0,0.0,0,0,3,0
2019-11-15 00:00:00,60.0,3.75,10,4,2,1
2019-11-22 00:00:00,80.0,7.2727272727272725,8,0,3,1
2019-11-29 00:00:00,30.0,5.0,3,0,3,1
2019-12-06 00:00:00,60.0,6.666666666666667,6,0,3,1
2019-12-13 00:00:00,40.0,3.6363636363636362,4,0,7,1
2019-12-20 00:00:00,50.0,4.545454545454546,7,2,2,1
2019-12-27 00:00:00,100.0,8.333333333333334,10,0,2,1
2020-01-03 00:00:00,130.0,7.647058823529412,13,0,4,1
2020-01-10 00:00:00,209.0,4.644444444444445,27,7,11,1
2020-01-17 00:00:00,160.0,5.714285714285714,17,1,10,1
2020-01-24 00:00:00,146.0,4.866666666666666,15,4,11,1
2020-01-31 00:00:00,80.0,5.714285714285714,8,0,6,1
2020-02-07 00:00:00,50.0,3.3333333333333335,7,2,6,1
2020-02-14 00:00:00,140.0,5.384615384615385,16,2,8,1
2020-02-21 00:00:00,60.0,4.0,7,1,7,1
2020-02-28 00:00:00,90.0,6.923076923076923,9,0,4,1
2020-03-06 00:00:00,70.0,6.363636363636363,7,0,4,1
2020-03-13 00:00:00,40.0,5.714285714285714,4,0,3,1
2020-03-20 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-03-27 00:00:00,10.0,5.0,1,0,1,1
2020-04-03 00:00:00,20.0,3.3333333333333335,2,0,4,1
2020-04-10 00:00:00,0.0,0.0,0,0,2,0
2020-04-17 00:00:00,10.0,3.3333333333333335,2,1,0,1
2020-04-24 00:00:00,0.0,0.0,0,0,5,0
2020-05-01 00:00:00,10.0,5.0,1,0,1,1
2020-05-08 00:00:00,10.0,1.6666666666666667,1,0,5,1
2020-05-15 00:00:00,-10.0,-2.5,0,1,3,-1
2020-05-22 00:00:00,-20.0,-10.0,0,2,0,-1
2020-05-29 00:00:00,90.0,5.294117647058823,11,2,4,1
2020-06-05 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-06-12 00:00:00,30.0,3.3333333333333335,4,1,4,1
2020-06-19 00:00:00,8.0,1.6,1,1,3,1
2020-06-26 00:00:00,10.0,5.0,1,0,1,1
2020-07-03 00:00:00,0.0,0.0,0,0,3,0
2020-07-10 00:00:00,10.0,5.0,1,0,1,1
2020-07-17 00:00:00,20.0,4.0,2,0,3,1
2020-07-24 00:00:00,0.0,0.0,0,0,5,0
2020-07-31 00:00:00,40.0,5.0,4,0,4,1
2020-08-07 00:00:00,10.0,1.4285714285714286,2,1,4,1
2020-08-14 00:00:00,0.0,0.0,0,0,2,0
2020-08-21 00:00:00,0.0,0.0,1,1,4,0
2020-08-28 00:00:00,10.0,1.6666666666666667,1,0,5,1
2020-09-04 00:00:00,10.0,2.0,1,0,4,1
2020-09-11 00:00:00,30.0,3.0,3,0,7,1
2020-09-18 00:00:00,0.0,0.0,0,0,4,0
2020-09-25 00:00:00,20.0,3.3333333333333335,2,0,4,1
2020-10-02 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-10-09 00:00:00,0.0,0.0,0,0,3,0
2020-10-16 00:00:00,30.0,3.3333333333333335,3,0,6,1
2020-10-23 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-10-30 00:00:00,40.0,4.0,5,1,4,1
2020-11-06 00:00:00,0.0,0.0,0,0,6,0
2020-11-13 00:00:00,-10.0,-1.1111111111111112,0,1,8,-1
2020-11-20 00:00:00,-30.0,-3.0,0,3,7,-1
2020-11-27 00:00:00,0.0,0.0,0,0,3,0
2020-12-04 00:00:00,-10.0,-2.0,0,1,4,-1
2020-12-11 00:00:00,20.0,2.0,2,0,8,1
2020-12-18 00:00:00,30.0,3.75,3,0,5,1
2020-12-25 00:00:00,30.0,6.0,3,0,2,1
2021-01-01 00:00:00,10.0,5.0,1,0,1,1
2021-01-08 00:00:00,40.0,4.444444444444445,4,0,5,1
2021-01-15 00:00:00,0.0,0.0,0,0,5,0
2021-01-22 00:00:00,60.0,7.5,6,0,2,1
2021-01-29 00:00:00,0.0,0.0,1,1,8,0
2021-02-05 00:00:00,10.0,2.0,2,1,2,1
2021-02-12 00:00:00,10.0,1.6666666666666667,2,1,3,1
2021-02-19 00:00:00,10.0,2.5,2,1,1,1
2021-02-26 00:00:00,-10.0,-0.7142857142857143,1,2,11,-1
2021-03-05 00:00:00,0.0,0.0,0,0,3,0
2021-03-12 00:00:00,-10.0,-2.5,0,1,3,-1
2021-03-19 00:00:00,20.0,4.0,2,0,3,1
2021-03-26 00:00:00,240.0,5.714285714285714,27,3,12,1
2021-04-02 00:00:00,20.0,1.6666666666666667,2,0,10,1
2021-04-09 00:00:00,50.0,5.0,5,0,5,1
2021-04-16 00:00:00,110.0,6.875,11,0,5,1
2021-04-23 00:00:00,20.0,2.5,2,0,6,1
2021-04-30 00:00:00,10.0,1.4285714285714286,1,0,6,1
2021-05-07 00:00:00,0.0,0.0,1,1,5,0
2021-05-14 00:00:00,-20.0,-2.5,0,2,6,-1
2021-05-21 00:00:00,10.0,1.6666666666666667,1,0,5,1
2021-05-28 00:00:00,-20.0,-2.857142857142857,0,2,5,-1
2021-06-04 00:00:00,-30.0,-3.3333333333333335,1,4,4,-1
2021-06-11 00:00:00,0.0,0.0,2,2,3,0
2021-06-18 00:00:00,40.0,4.444444444444445,4,0,5,1
2021-06-25 00:00:00,-10.0,-3.3333333333333335,0,1,2,-1
2021-07-02 00:00:00,0.0,0.0,0,0,4,0
2021-07-09 00:00:00,0.0,0.0,1,1,1,0
2021-07-16 00:00:00,0.0,0.0,0,0,3,0
2021-07-23 00:00:00,0.0,0.0,0,0,3,0
2021-07-30 00:00:00,0.0,0.0,0,0,1,0
2021-08-06 00:00:00,0.0,0.0,0,0,3,0
